ping_number,pwr_up_msec,time_boot_ms_x,sonar_x,sonar_y,time_boot_ms_y,yaw_rad,pitch_rad,sonar_z
40318,5571589,5571587,74.3771743774414,25.150480270385746,5571587,-0.1891829967498779,0.0216712169349193,0.0
40319,5571639,5571627,74.40837860107422,25.15340232849121,5571627,-0.1875966489315033,0.0203959792852401,0.0
40320,5571689,5571687,74.45533752441406,25.158130645751957,5571687,-0.1856335401535034,0.0179084837436676,0.0
40321,5571739,5571727,74.4870834350586,25.16165351867676,5571727,-0.1846017390489578,0.0162899065762758,0.0
40322,5571789,5571787,74.535888671875,25.16762351989746,5571787,-0.1834586858749389,0.015135845169425,0.0
40323,5571839,5571827,74.5677490234375,25.17186737060547,5571827,-0.1829981952905655,0.0155629059299826,0.0
40324,5571889,5571887,74.6152572631836,25.178815841674805,5571887,-0.1825600713491439,0.018394460901618,0.0
40325,5571939,5571927,74.64643096923828,25.18391227722168,5571927,-0.1824914366006851,0.0214777942746877,0.0
40326,5571989,5571987,74.69264221191406,25.192138671875,5571987,-0.1828147768974304,0.0270326826721429,0.0
40327,5572039,5572047,74.73963165283203,25.20103073120117,5572047,-0.1836409270763397,0.032508872449398,0.0
40328,5572089,5572087,74.77050018310547,25.207069396972656,5572087,-0.1843622177839279,0.0349558033049106,0.0
40329,5572139,5572147,74.81674194335938,25.21603202819824,5572147,-0.1857638359069824,0.0359145067632198,0.0
40330,5572189,5572187,74.84773254394531,25.2219295501709,5572187,-0.1869414895772934,0.0340313017368316,0.0
40331,5572239,5572247,74.89471435546875,25.23055076599121,5572247,-0.188943400979042,0.0275832638144493,0.0
40332,5572289,5572287,74.92643737792969,25.236297607421875,5572287,-0.1903997510671615,0.0212621875107288,0.0
40333,5572339,5572347,74.97441864013672,25.245506286621094,5572347,-0.1924379765987396,0.0108913388103246,0.0
40334,5572389,5572387,75.00589752197266,25.25186538696289,5572387,-0.1937092989683151,0.0046377116814255,0.0
40335,5572439,5572447,75.05339050292969,25.261592864990234,5572447,-0.1955820471048355,-0.0016300125280395,0.0
40336,5572489,5572487,75.08513641357422,25.268198013305664,5572487,-0.196985512971878,-0.0027758977375924,0.0
40337,5572539,5572547,75.1322250366211,25.278459548950195,5572547,-0.1994492709636688,0.0008424361585639,0.0
40338,5572589,5572587,75.16331481933594,25.285324096679688,5572587,-0.2014268487691879,0.0066288416273891,0.0
40339,5572639,5572647,75.21027374267578,25.295543670654297,5572647,-0.2047434896230697,0.0187593288719654,0.0
40340,5572689,5572687,75.24071502685547,25.30200958251953,5572687,-0.2073044925928115,0.0280722491443157,0.0
40341,5572739,5572747,75.2852783203125,25.31123924255371,5572747,-0.2115837484598159,0.0420339331030845,0.0
40342,5572789,5572787,75.31400299072266,25.31698989868164,5572787,-0.214622750878334,0.0503053665161132,0.0
40343,5572839,5572847,75.35708618164062,25.324811935424805,5572847,-0.2193766087293625,0.0595387257635593,0.0
40344,5572889,5572887,75.3865737915039,25.32962226867676,5572887,-0.2225815802812576,0.0632600262761116,0.0
40345,5572939,5572947,75.428955078125,25.33600616455078,5572947,-0.2271514981985092,0.0644157603383064,0.0
40346,5572989,5572987,75.45707702636719,25.33989906311035,5572987,-0.2300426065921783,0.0626788809895515,0.0
40347,5573039,5573047,75.4994888305664,25.34537506103516,5573047,-0.2340084910392761,0.0574037507176399,0.0
40348,5573089,5573087,75.52790069580078,25.348907470703125,5573087,-0.2362889647483825,0.0525070577859878,0.0
40349,5573139,5573147,75.57049560546875,25.353906631469727,5573147,-0.2390505522489547,0.0436405129730701,0.0
40350,5573189,5573187,75.59969329833984,25.357250213623047,5573187,-0.2403744161128997,0.0371595434844493,0.0
40351,5573239,5573247,75.64258575439453,25.36220932006836,5573247,-0.2416394650936126,0.0268007256090641,0.0
40352,5573289,5573287,75.6713638305664,25.36552047729492,5573287,-0.242071196436882,0.0196041986346244,0.0
40353,5573339,5573347,75.71534729003906,25.370784759521484,5573347,-0.2423822283744812,0.009613330475986,0.0
40354,5573389,5573407,75.75989532470703,25.375905990600582,5573407,-0.242622822523117,0.0015144324861466,0.0
40355,5573439,5573447,75.78972625732422,25.379114151000977,5573447,-0.2428629249334335,-0.0021282946690917,0.0
40356,5573489,5573507,75.83524322509766,25.38370513916016,5573507,-0.2432295680046081,-0.0037555838935077,0.0
40357,5573539,5573547,75.8656997680664,25.38679313659668,5573547,-0.2435449808835983,-0.0021193716675043,0.0
40358,5573589,5573607,75.91093444824219,25.391036987304688,5573607,-0.2442079782485962,0.0044715078547596,0.0
40359,5573639,5573647,75.94060516357422,25.39356803894043,5573647,-0.2447343915700912,0.0114255985245108,0.0
40360,5573689,5573707,75.98434448242188,25.397069931030277,5573707,-0.2455715984106063,0.0243885889649391,0.0
40361,5573739,5573747,76.01292419433594,25.39962577819824,5573747,-0.2459974437952041,0.0340551659464836,0.0
40362,5573789,5573807,76.05587005615234,25.40340805053711,5573807,-0.2462451457977295,0.0474945344030857,0.0
40363,5573839,5573847,76.08377075195312,25.40594291687012,5573847,-0.2459296733140945,0.0548498854041099,0.0
40364,5573889,5573907,76.12545776367188,25.409921646118164,5573907,-0.2446731179952621,0.0615346133708953,0.0
40365,5573939,5573947,76.15341186523438,25.41274070739746,5573947,-0.2434593886137008,0.0625253319740295,0.0
40366,5573989,5574007,76.19590759277344,25.417234420776367,5574007,-0.2414359897375106,0.0587176717817783,0.0
40367,5574039,5574027,76.21025848388672,25.41876602172852,5574027,-0.2408113628625869,0.0561593621969223,0.0
40368,5574089,5574107,76.26920318603516,25.425161361694336,5574107,-0.2388378828763961,0.04196497797966,0.0
40369,5574139,5574127,76.28404998779297,25.42660140991211,5574127,-0.2385650873184204,0.0379065424203872,0.0
40370,5574189,5574207,76.34358215332031,25.432483673095703,5574207,-0.2382354736328125,0.022897845134139,0.0
40371,5574239,5574227,76.35845184326172,25.433982849121094,5574227,-0.2382736951112747,0.0198758486658334,0.0
40372,5574289,5574307,76.41766357421875,25.440183639526367,5574307,-0.2383197546005249,0.0117535330355167,0.0
40373,5574339,5574327,76.43341827392578,25.44186210632324,5574327,-0.2381467223167419,0.0107318544760346,0.0
40374,5574389,5574407,76.49322509765625,25.44857215881348,5574407,-0.2366444319486618,0.0090015428140759,0.0
40375,5574439,5574427,76.50816345214844,25.450345993041992,5574427,-0.2360009998083114,0.0089259259402751,0.0
40376,5574489,5574507,76.56855010986328,25.457752227783203,5574507,-0.2332330793142318,0.007945466786623,0.0
40377,5574539,5574527,76.58427429199219,25.459630966186523,5574527,-0.2325757890939712,0.0073761981911957,0.0
40378,5574589,5574607,76.64899444580078,25.467660903930664,5574607,-0.2302697002887725,0.0035451299045234,0.0
40379,5574639,5574627,76.66523742675781,25.46976661682129,5574627,-0.229796901345253,0.0023012096062302,0.0
40380,5574689,5574687,76.71446228027344,25.476423263549805,5574687,-0.22866190969944,-0.0014559749979525,0.0
40381,5574739,5574727,76.74778747558594,25.48089408874512,5574727,-0.2281545549631118,-0.0034784371964633,0.0
40382,5574789,5574787,76.79824829101562,25.48764991760254,5574787,-0.2276371717453003,-0.0049134087748825,0.0
40383,5574839,5574827,76.83191680908203,25.49226188659668,5574827,-0.2273537516593933,-0.0045323022641241,0.0
40384,5574889,5574887,76.88239288330078,25.49920463562012,5574887,-0.2272315472364425,-0.0018478935817256,0.0
40385,5574939,5574927,76.91674041748047,25.50394630432129,5574927,-0.2274355888366699,0.0010113139869645,0.0
40386,5574989,5574987,76.96664428710938,25.51070022583008,5574987,-0.2285331338644027,0.0066401134245097,0.0
40387,5575039,5575027,76.99955749511719,25.514802932739254,5575027,-0.2298275977373123,0.0112228374928236,0.0
40388,5575089,5575087,77.04823303222656,25.520395278930664,5575087,-0.2327156364917755,0.018921235576272,0.0
40389,5575139,5575127,77.07994079589844,25.52384757995605,5575127,-0.2352295368909835,0.0246549118310213,0.0
40390,5575189,5575187,77.12715911865234,25.52883720397949,5575187,-0.2395586371421814,0.0343172214925289,0.0
40391,5575239,5575227,77.1575927734375,25.532028198242188,5575227,-0.2424342036247253,0.0407000258564949,0.0
40392,5575289,5575287,77.202392578125,25.536949157714844,5575287,-0.2459738105535507,0.0496462695300579,0.0
40393,5575339,5575347,77.24542999267578,25.54157066345215,5575347,-0.2482275068759918,0.0569823011755943,0.0
40394,5575389,5575387,77.27490997314453,25.544775009155277,5575387,-0.2490898668766021,0.0608200915157794,0.0
40395,5575439,5575447,77.31698608398438,25.54940795898437,5575447,-0.2496293038129806,0.0637776330113411,0.0
40396,5575489,5575487,77.3469467163086,25.552553176879883,5575487,-0.2498330473899841,0.0634378269314765,0.0
40397,5575540,5575547,77.39047241210938,25.555946350097656,5575547,-0.2503353059291839,0.0587742328643798,0.0
40398,5575589,5575587,77.41980743408203,25.55768585205078,5575587,-0.2509142458438873,0.0530627481639385,0.0
40399,5575639,5575647,77.4640121459961,25.559877395629883,5575647,-0.2520813941955566,0.042067714035511,0.0
40400,5575689,5575687,77.4935073852539,25.561134338378903,5575687,-0.2530173361301422,0.0343578346073627,0.0
40401,5575739,5575747,77.5392074584961,25.562768936157227,5575747,-0.2543510198593139,0.0239807907491922,0.0
40402,5575789,5575787,77.56914520263672,25.56388282775879,5575787,-0.2549503147602081,0.0193145908415317,0.0
40403,5575839,5575847,77.61335754394531,25.565961837768555,5575847,-0.2549503147602081,0.0161230713129043,0.0
40404,5575889,5575887,77.64239501953125,25.567750930786133,5575887,-0.2542033195495605,0.0167152751237154,0.0
40405,5575939,5575947,77.68661499023438,25.570680618286133,5575947,-0.2519899308681488,0.0210460368543863,0.0
40406,5575989,5575987,77.71622467041016,25.573041915893555,5575987,-0.2499008327722549,0.0252418909221887,0.0
40407,5576039,5576047,77.76133728027344,25.57749938964844,5576047,-0.2462832033634185,0.031413123011589,0.0
40408,5576089,5576087,77.79122161865234,25.58089256286621,5576087,-0.2438996434211731,0.0340438820421695,0.0
40409,5576139,5576147,77.8370590209961,25.586204528808597,5576147,-0.2408874481916427,0.0342651791870594,0.0
40410,5576189,5576187,77.86832427978516,25.589948654174805,5576187,-0.2394477874040603,0.0315610952675342,0.0
40411,5576239,5576247,77.91606140136719,25.59578895568848,5576247,-0.2384376972913742,0.0237401500344276,0.0
40412,5576289,5576287,77.94829559326172,25.59984016418457,5576287,-0.2384660094976425,0.0170375313609838,0.0
40413,5576339,5576347,77.99776458740234,25.605960845947266,5576347,-0.2394852042198181,0.0075181946158409,0.0
40414,5576389,5576387,78.03016662597656,25.60998916625977,5576387,-0.2406556457281112,0.0028172098100185,0.0
40415,5576439,5576447,78.0782241821289,25.616374969482425,5576447,-0.2425931990146637,0.0002174770488636,0.0
40416,5576489,5576487,78.1097412109375,25.62091636657715,5576487,-0.2437862902879715,0.0017573221120983,0.0
40417,5576539,5576547,78.15575408935547,25.628286361694336,5576547,-0.2451632916927337,0.0085771875455975,0.0
40418,5576589,5576587,78.18585968017578,25.63350486755371,5576587,-0.2457815259695053,0.0155509049072861,0.0
40419,5576639,5576647,78.23155975341797,25.641820907592773,5576647,-0.2465803623199463,0.0265043526887893,0.0
40420,5576689,5576707,78.27681732177734,25.650203704833984,5576707,-0.2477917969226837,0.0350575670599937,0.0
40421,5576739,5576747,78.307373046875,25.65508270263672,5576747,-0.2490381002426147,0.0382560566067695,0.0
40422,5576789,5576807,78.35395050048828,25.662006378173828,5576807,-0.2519505620002746,0.0379943400621414,0.0
40423,5576839,5576847,78.3854751586914,25.6662540435791,5576847,-0.2545022070407867,0.0346226952970027,0.0
40424,5576890,5576907,78.43392181396484,25.672094345092773,5576907,-0.2589560449123382,0.0260520260781049,0.0
40425,5576939,5576947,78.46488952636719,25.674867630004883,5576947,-0.2619619965553283,0.0193580668419599,0.0
40426,5576989,5577007,78.51084899902344,25.67850875854492,5577007,-0.2659937739372253,0.0107019739225506,0.0
40427,5577039,5577047,78.54093170166016,25.68072891235352,5577047,-0.2680799663066864,0.0070666605606675,0.0
40428,5577089,5577107,78.5849838256836,25.683948516845703,5577107,-0.2699890434741974,0.0062487991526722,0.0
40429,5577139,5577147,78.6141128540039,25.68635368347168,5577147,-0.2705232501029968,0.0091366497799754,0.0
40430,5577189,5577207,78.65763854980469,25.689985275268555,5577207,-0.2705544233322143,0.0174886528402566,0.0
40431,5577239,5577247,78.68572998046875,25.692323684692383,5577247,-0.2703593671321869,0.0247841514647007,0.0
40432,5577289,5577307,78.72759246826172,25.695823669433597,5577307,-0.2698133587837219,0.0362874343991279,0.0
40433,5577339,5577327,78.74147033691406,25.696372985839844,5577327,-0.2696253359317779,0.0397620350122451,0.0
40434,5577389,5577407,78.79730987548828,25.69890785217285,5577407,-0.2684898972511291,0.0502915382385253,0.0
40435,5577439,5577427,78.81141662597656,25.699609756469727,5577427,-0.2680860161781311,0.0517820306122303,0.0
40436,5577489,5577507,78.86931610107422,25.70269203186035,5577507,-0.265741229057312,0.0508133471012115,0.0
