nx_bin,ny_bin,packet_index,ping_number,pwr_up_msec,utc_msec,utc_iso,ping_hz,sos_mps,listening_sec,pulse_sec,point_index,angle_rad,angle_deg,tof_s,range_m,y_m,z_m,reserved0,reserved1,beam_order,beam_count,beam_order_reversed,t_sync,boat_x_m,boat_y_m,boat_z_m,roll_rad,pitch_rad,yaw_rad,map_x_m,map_y_m,map_z_m,x_boat_m,y_boat_m,z_boat_m,altitude_like_sonarview_m
40.0,25.75,1196,35708,4504968,1776873495907,2026-04-22T15:58:15.907000+00:00,240000,1500.0,0.0201526675373315,0.0001437500031897,1,0.6283185482025146,36.00000100179127,0.0127333337441086,8.197619796371857,5.613349475566531,-7.726112447377001,4294967295,4294967295,1,2,0,4504968,41.54986953735352,17.685672760009766,11.439950942993164,-0.0379217751324176,0.0354503691196441,1.6716567277908323,40.100588100449926,25.75416417058426,5.059167350221394,7.988966798804783,0.4263822076348519,5.365701473621251,5.059167350221394
40.0,26.0,1051,35699,4504518,1776873495457,2026-04-22T15:58:15.457000+00:00,240000,1500.0,0.0201526675373315,0.0001437500031897,1,0.6457718014717102,36.99999875288908,0.0131568331271409,8.456663074614864,5.938484703232071,-7.880635730584227,4294967295,4294967295,1,2,0,4504518,41.579402923583984,17.69158935546875,11.447714805603027,-0.0096606314182281,0.0517917014658451,1.686723232269287,40.10957734850182,26.01954007196491,5.2480639897904355,8.159059883588634,0.44181154088809016,5.682593631154909,5.2480639897904355
40.0,26.25,1166,35706,4504868,1776873495807,2026-04-22T15:58:15.807000+00:00,240000,1500.0,0.0193333327770233,0.0001374999992549,1,0.6457718014717102,36.99999875288908,0.0137318326160311,8.75387935581647,6.19801719377469,-8.225046993798312,4294967295,4294967295,1,2,0,4504868,41.55613327026367,17.69098472595215,11.48318576812744,-0.0326570831239223,0.0372859574854373,1.675291895866394,40.00174784914813,26.3057563270344,5.585291673031589,8.515639253225075,0.45412768797364766,5.924824301274575,5.585291673031589
40.0,26.5,1230,35710,4505068,1776873496007,2026-04-22T15:58:16.007000+00:00,240000,1500.0,0.0193333327770233,0.0001374999992549,1,0.6108652353286743,34.99999983559887,0.0138276666402816,8.984047364286658,5.948417791561569,-8.495221064168112,4294967295,4294967295,1,2,0,4505068,41.54527282714844,17.682586669921875,11.413358688354492,-0.0382780544459819,0.0339549034833908,1.6672656536102295,40.02665974161321,26.537354952614947,5.340527451387576,8.773403152186749,0.4422829168480872,5.662695776168298,5.340527451387576
40.0,28.0,661,35675,4503318,1776873494257,2026-04-22T15:58:14.257000+00:00,240000,1500.0,0.0201526675373315,0.0001437500031897,0,-0.4712388813495636,-26.99999904379616,0.0164916664361953,10.692354318694688,-5.61529473125732,-11.02063688575443,4294967295,4294967295,0,2,1,4503318,41.56678009033203,17.516103744506836,11.24558448791504,-0.0475967265665531,0.0083663212135434,1.7378168106079102,40.17664993336912,28.117706407463565,-6.074630277674069,10.735625774353005,-0.10647451998910343,-5.996880547133151,-6.074630277674069
40.0,28.25,776,35682,4503668,1776873494607,2026-04-22T15:58:14.607000+00:00,240000,1500.0,0.0201526675373315,0.0001437500031897,0,-0.4886921942234039,-28.000000209988556,0.0170860011130571,10.879026045227755,-6.016043774698971,-11.314532643720309,4294967295,4294967295,0,2,1,4503668,41.58016204833984,17.576953887939453,11.378432273864746,0.0114739136770367,0.020064203068614,1.7208735942840576,40.004951064250584,28.34133580462879,-6.631575779527574,11.00976077622143,-0.12549211641067096,-6.410961268909332,-6.631575779527574
40.0,28.5,679,35676,4503368,1776873494307,2026-04-22T15:58:14.307000+00:00,240000,1500.0,0.0193333327770233,0.0001374999992549,0,-0.4712388813495636,-26.99999904379616,0.0172250010073184,11.152925765762216,-5.864989919394203,-11.510691305384256,4294967295,4294967295,0,2,1,4503368,41.56812286376953,17.52269744873047,11.253475189208984,-0.0378808677196502,0.0104057369753718,1.7358522415161133,40.087398187930035,28.576891565488268,-6.377128583901728,11.213006611118814,-0.11832383664776194,-6.269769080349445,-6.377128583901728
40.25,21.0,2,35625,4500818,1776873491757,2026-04-22T15:58:11.757000+00:00,240000,1500.0,0.0131862852722406,9.999999747378752e-05,1,-0.5759586691856384,-33.000000918308665,0.0066237859427928,3.936646376271378,-2.705679354798324,-4.166380695577971,4294967295,4294967295,1,2,0,4500818,41.514068603515625,17.376554489135742,11.258112907409668,-0.0148858549073338,0.0331549458205699,1.852810263633728,40.42767254605485,21.160326191834553,-2.89377432398311,4.030396772891207,0.03160164482535138,-2.7615245280581795,-2.89377432398311
40.25,21.5,410,35658,4502468,1776873493407,2026-04-22T15:58:13.407000+00:00,240000,1500.0,0.0166371967643499,0.0001187500020023,3,0.6457718014717102,36.99999875288908,0.0068902228958904,4.30834495558063,3.1099796488789546,-4.127082575291682,4294967295,4294967295,3,4,0,4502468,41.565189361572266,17.447790145874023,11.257054328918455,-0.0091240582987666,0.0074017653241753,1.7845807075500488,40.32620656034263,21.574139364558043,3.0080088570053554,4.272893079632765,0.30758447664337274,3.0426518137726783,3.0080088570053554
40.25,25.25,794,35683,4503718,1776873494657,2026-04-22T15:58:14.657000+00:00,240000,1500.0,0.0201526675373315,0.0001437500031897,0,-0.5061454772949219,-28.99999966863366,0.0126416673883795,7.958663579908587,-4.596601426421546,-8.292488598317785,4294967295,4294967295,0,2,1,4503718,41.58338928222656,17.588197708129883,11.38681697845459,0.0106318704783916,0.0205593202263116,1.7176717519760132,40.42516933706344,25.46213271781784,-5.013230847773517,8.060040267156898,-0.05813230067313804,-4.84821421130082,-5.013230847773517
40.25,25.5,1431,35724,4505768,1776873496707,2026-04-22T15:58:16.707000+00:00,240000,1500.0,0.0201526675373315,0.0001437500031897,1,0.6632251143455505,37.99999991908148,0.0133484993129968,8.066469325312193,6.163617574175696,-7.889070761069946,4294967295,4294967295,1,2,0,4505768,41.50340270996094,17.648765563964844,11.462811470031738,-0.0214818883687257,-0.0221768524497747,1.6318289041519165,40.43446943494767,25.64409601553293,6.075622924862408,8.178391881115834,0.45249524968515953,5.906799098431159,6.075622924862408
