packet_index,pwr_up_msec,utc_msec,utc_iso,up_vec_x,up_vec_y,up_vec_z,pitch_rad,roll_rad,pitch_deg,roll_deg
4557,8604144,1776877595004,2026-04-22T17:06:35.004000+00:00,0.024886062368750572,0.9985519051551819,0.04769482836127281,0.024888631808080496,1.5230686049130846,1.4260135604580675,87.26540297039799
4570,8604194,1776877595054,2026-04-22T17:06:35.054000+00:00,0.022551782429218292,0.998766303062439,0.04424082115292549,0.02255369444195477,1.5265297949436325,1.2922315039516707,87.46371455124114
4581,8604244,1776877595104,2026-04-22T17:06:35.104000+00:00,0.02028706483542919,0.9990456104278564,0.03868197277188301,0.020288456667523092,1.5320967322585008,1.162442939883128,87.78267656419699
4594,8604294,1776877595154,2026-04-22T17:06:35.154000+00:00,0.01686105877161026,0.9993261694908142,0.03260071575641632,0.016861857793804145,1.5381851942831086,0.966113286334751,88.13151974193269
4607,8604344,1776877595204,2026-04-22T17:06:35.204000+00:00,0.01364366989582777,0.9995713829994202,0.025902526453137398,0.013644093225530467,1.5448884914585765,0.7817489571059338,88.51559037890897
4620,8604394,1776877595254,2026-04-22T17:06:35.254000+00:00,0.010802166536450386,0.9997699856758118,0.018529744818806648,0.010802376625859925,1.552264440653778,0.6189305893725444,88.93820113769692
4631,8604444,1776877595304,2026-04-22T17:06:35.304000+00:00,0.008289487101137638,0.9998916983604431,0.012158223427832127,0.008289582040248378,1.5586373856963507,0.47495806483367814,89.30334399170516
4644,8604494,1776877595354,2026-04-22T17:06:35.354000+00:00,0.006415317766368389,0.9999645352363586,0.00546120572835207,0.006415361772309348,1.5653349816771749,0.36757315360289344,89.68708797429016
4655,8604544,1776877595404,2026-04-22T17:06:35.404000+00:00,0.0051962826400995255,0.9999861717224121,0.0008684443891979754,0.005196306024827547,1.569927870614777,0.2977264042810204,89.9502411261871
4668,8604594,1776877595454,2026-04-22T17:06:35.454000+00:00,0.004417456220835447,0.9999850988388062,-0.0032118794042617083,0.00441747058794243,1.574008243015415,0.2531024208122756,90.18402924358531
4681,8604645,1776877595505,2026-04-22T17:06:35.505000+00:00,0.0038273499812930822,0.9999768733978271,-0.005612384527921677,0.0038273593255795275,1.5764087821903245,0.21929153603574408,90.32157000686345
4694,8604694,1776877595554,2026-04-22T17:06:35.554000+00:00,0.0036224082577973604,0.9999658465385437,-0.007428443059325218,0.0036224161799553595,1.5782248869222515,0.20754915875134422,90.42562514315661
4705,8604744,1776877595604,2026-04-22T17:06:35.604000+00:00,0.0036778810899704695,0.9999598264694214,-0.008175821974873543,0.0036778893816869712,1.5789722950515586,0.21072753908664338,90.46844847453967
4720,8604794,1776877595654,2026-04-22T17:06:35.654000+00:00,0.003888706909492612,0.9999608993530273,-0.007943345233798027,0.0038887167104238044,1.578739815551125,0.2228070552292811,90.4551283803415
4731,8604844,1776877595704,2026-04-22T17:06:35.704000+00:00,0.004098469391465187,0.9999666213989258,-0.007072468753904104,0.004098480865525288,1.577868913696333,0.23482565600972372,90.40522937969182
4744,8604894,1776877595754,2026-04-22T17:06:35.754000+00:00,0.004758501425385475,0.9999765157699585,-0.004932849667966366,0.004758519383626087,1.575729252297172,0.27264307741296867,90.28263581193283
4757,8604944,1776877595804,2026-04-22T17:06:35.804000+00:00,0.0056663695722818375,0.9999819397926331,-0.0020104963332414627,0.005666399895110687,1.5728068567297615,0.3246607990232147,90.11519487985247
4773,8604994,1776877595854,2026-04-22T17:06:35.854000+00:00,0.007189000491052866,0.9999704957008362,0.0027059544809162617,0.007189062415821115,1.5680902990793937,0.41190293508267356,89.84495603265626
4784,8605044,1776877595904,2026-04-22T17:06:35.904000+00:00,0.008957328274846077,0.9999228715896606,0.008606623858213425,0.008957448059147085,1.5621892516189393,0.5132239689967786,89.50685091846583
4797,8605094,1776877595954,2026-04-22T17:06:35.954000+00:00,0.010956070385873318,0.9998090267181396,0.01618387922644615,0.010956289583905227,1.554610769826642,0.6277491522809143,89.07263589665045
4808,8605144,1776877596004,2026-04-22T17:06:36.004000+00:00,0.013164233416318893,0.9996480941772461,0.02302812971174717,0.013164613666423582,1.547764164066397,0.7542768020063159,88.68035428259846
4821,8605194,1776877596054,2026-04-22T17:06:36.054000+00:00,0.01451741810888052,0.9994463920593262,0.0299362950026989,0.01451792809469485,1.5408524024787174,0.8318160071004195,88.28433951462377
4832,8605244,1776877596104,2026-04-22T17:06:36.104000+00:00,0.015708811581134796,0.9992282390594482,0.036003462970256805,0.015709457721647672,1.5347806367246115,0.9000856258896136,87.93645296272143
4845,8605294,1776877596154,2026-04-22T17:06:36.154000+00:00,0.016104869544506073,0.9990668296813965,0.040076568722724915,0.016105565803914652,1.530703820383309,0.9227809472345324,87.70286859251483
4858,8605344,1776877596204,2026-04-22T17:06:36.204000+00:00,0.014078770764172077,0.9990870952606201,0.040332384407520294,0.014079235902044901,1.530448997284898,0.8066807959562373,87.68826830445344
4871,8605394,1776877596254,2026-04-22T17:06:36.254000+00:00,0.012495995499193668,0.999172031879425,0.038718122988939285,0.01249632073012926,1.5320654979073687,0.715986437278246,87.78088696770128
4882,8605444,1776877596304,2026-04-22T17:06:36.304000+00:00,0.008915780112147331,0.9993485808372498,0.034971002489328384,0.008915898237286269,1.535816802259705,0.5108433395646335,87.9958208747592
4895,8605494,1776877596354,2026-04-22T17:06:36.354000+00:00,0.005337055306881666,0.9995540380477905,0.029382171109318733,0.005337080644128739,1.541409508771296,0.30579219582953965,88.31625935392871
4906,8605544,1776877596404,2026-04-22T17:06:36.404000+00:00,0.003665552707388997,0.9996918439865112,0.0245501808822155,0.0036655609160020047,1.5462435132961696,0.21002117003502294,88.59322741135111
4919,8605594,1776877596454,2026-04-22T17:06:36.454000+00:00,0.002265418879687786,0.9997676610946655,0.02143436297774315,0.002265420817426871,1.5493602665503168,0.12979905165963673,88.77180421859741
4932,8605644,1776877596504,2026-04-22T17:06:36.504000+00:00,0.002452259184792638,0.9998248815536499,0.01855049654841423,0.002452261642606755,1.5522447096933527,0.1405042423831857,88.93707063693881
4945,8605694,1776877596554,2026-04-22T17:06:36.554000+00:00,0.004636465106159449,0.9998433589935303,0.017078224569559097,0.004636481717854034,1.5537170875234616,0.2656508342226019,89.02143167245269
4956,8605744,1776877596604,2026-04-22T17:06:36.604000+00:00,0.007696648593991995,0.9998325705528259,0.01660064607858658,0.007696724585541879,1.5541944262711591,0.4409898348261274,89.04878116809381
4971,8605794,1776877596654,2026-04-22T17:06:36.654000+00:00,0.011616394855082035,0.9997875690460205,0.017024444416165352,0.011616656124886413,1.5537699105949687,0.6655853680107893,89.02445821151096
4982,8605844,1776877596704,2026-04-22T17:06:36.704000+00:00,0.01625708118081093,0.9996792674064636,0.019417036324739456,0.016257797370607334,1.5513755028044978,0.9315031735146874,88.88726875068373
4995,8605894,1776877596754,2026-04-22T17:06:36.754000+00:00,0.020620405673980713,0.9995499849319458,0.021784819662570953,0.020621867256957506,1.5490051490964458,1.181545959502689,88.75145748725917
5006,8605944,1776877596804,2026-04-22T17:06:36.804000+00:00,0.02447308413684368,0.999420166015625,0.023674115538597107,0.02447552774708252,1.547112905274784,1.4023444412631687,88.64303990246825
5022,8605994,1776877596854,2026-04-22T17:06:36.854000+00:00,0.0273713581264019,0.9993298053741455,0.024306172505021095,0.027374777009471267,1.5464786480488095,1.5684591877544607,88.60669964029422
5033,8606044,1776877596904,2026-04-22T17:06:36.904000+00:00,0.02985880710184574,0.9992272853851318,0.025558464229106903,0.029863245644563618,1.5452236738553862,1.711037937995933,88.53479491561323
5046,8606094,1776877596954,2026-04-22T17:06:36.954000+00:00,0.031246546655893326,0.9992003440856934,0.0249472688883543,0.03125163346813589,1.5458342786521115,1.7905867006139784,88.56977999341605
5057,8606144,1776877597004,2026-04-22T17:06:37.004000+00:00,0.03135547414422035,0.9992244243621826,0.023820186033844948,0.031360614356789995,1.5469621662264676,1.7968308455814437,88.6344031911919
5070,8606194,1776877597054,2026-04-22T17:06:37.054000+00:00,0.030925873667001724,0.9992719888687134,0.02234049327671528,0.030930805423911516,1.5484432812496909,1.772204607730485,88.71926483099601
5081,8606244,1776877597104,2026-04-22T17:06:37.104000+00:00,0.029932070523500443,0.9993573427200317,0.019723204895853996,0.029936541827321188,1.5510630002990164,1.7152374999223614,88.86936367603239
5094,8606294,1776877597154,2026-04-22T17:06:37.154000+00:00,0.028463780879974365,0.9994213581085205,0.018621383234858513,0.02846762577862364,1.5521663178590015,1.6310748098729586,88.9325791156822
5107,8606344,1776877597204,2026-04-22T17:06:37.204000+00:00,0.027177194133400917,0.9994680285453796,0.018030842766165733,0.027180540757896332,1.5527578437796006,1.5573302703107756,88.96647105440512
5120,8606394,1776877597254,2026-04-22T17:06:37.254000+00:00,0.02578575722873211,0.9994890093803406,0.018888216465711594,0.025788615598397242,1.5519007028747047,1.477578833273404,88.91736049810656
5131,8606444,1776877597304,2026-04-22T17:06:37.304000+00:00,0.024165624752640724,0.9994991421699524,0.02043100818991661,0.0241679774008099,1.5503579268209289,1.3847231044339603,88.82896594149136
5144,8606494,1776877597354,2026-04-22T17:06:37.354000+00:00,0.022614337503910065,0.9994747042655945,0.023215174674987793,0.022616265474135762,1.5475731266683115,1.2958165600154188,88.669408645959
5155,8606544,1776877597404,2026-04-22T17:06:37.404000+00:00,0.021039968356490135,0.9994235038757324,0.026646286249160767,0.02104152099561192,1.5441409849365928,1.205590347584473,88.47276141004079
5168,8606594,1776877597454,2026-04-22T17:06:37.454000+00:00,0.019288145005702972,0.9993375539779663,0.03086346946656704,0.01928934117555934,1.5399222119828626,1.1051978389474681,88.23104352506812
5181,8606644,1776877597504,2026-04-22T17:06:37.504000+00:00,0.01694352738559246,0.999266505241394,0.03434128686785698,0.016944338190460966,1.5364433522882244,0.9708390649557518,88.03171954704717
5194,8606695,1776877597555,2026-04-22T17:06:37.555000+00:00,0.014274371787905693,0.9991905093193054,0.03761034458875656,0.014274856584528617,1.5331732741106419,0.817889035448023,87.84435786879386
5205,8606744,1776877597604,2026-04-22T17:06:37.604000+00:00,0.011320351622998714,0.9991278648376465,0.04019268974661827,0.0113205934214672,1.5305902317973792,0.648622224633635,87.6963604459402
5220,8606794,1776877597654,2026-04-22T17:06:37.654000+00:00,0.008099555037915707,0.9991234540939331,0.041069839149713516,0.008099643599433999,1.5297135851138064,0.4640753938077189,87.64613229084735
5231,8606844,1776877597704,2026-04-22T17:06:37.704000+00:00,0.003966590855270624,0.9992596507072449,0.03826732933521271,0.003966601256963906,1.5325193497845953,0.22726951103531917,87.80689076479045
5244,8606894,1776877597754,2026-04-22T17:06:37.754000+00:00,0.0012678313069045544,0.9993376135826111,0.03636856749653816,0.0012678316465560091,1.5344197070064574,0.07264140248078121,87.91577321317035
5255,8606944,1776877597804,2026-04-22T17:06:37.804000+00:00,-0.0013616338837891817,0.9994052052497864,0.034459587186574936,-0.0013616343045450311,1.5363298854872638,-0.0780158988906613,88.02521837823728
5271,8606994,1776877597854,2026-04-22T17:06:37.854000+00:00,-0.003247064771130681,0.999485969543457,0.03189414367079735,-0.003247070477024238,1.5388966048407005,-0.18604343411501978,88.17228056438375
5282,8607044,1776877597904,2026-04-22T17:06:37.904000+00:00,-0.004099581856280565,0.999543309211731,0.029938463121652603,-0.004099593339686608,1.5408531369841028,-0.2348893960839847,88.28438159868239
5295,8607094,1776877597954,2026-04-22T17:06:37.954000+00:00,-0.0035280073061585426,0.9995731711387634,0.028999319300055504,-0.003528014624953997,1.5417927598672283,-0.20214034807029402,88.33821802421939
5306,8607144,1776877598004,2026-04-22T17:06:38.004000+00:00,-0.0022333781234920025,0.9995907545089722,0.02852052077651024,-0.0022333799801696023,1.5422718681224978,-0.1279632469127297,88.36566890517621
5319,8607194,1776877598054,2026-04-22T17:06:38.054000+00:00,-0.00044948089634999633,0.9995595216751099,0.02967401035130024,-0.00044948091148499906,1.541117956621838,-0.02575335919978378,88.2995546462568
5330,8607244,1776877598104,2026-04-22T17:06:38.104000+00:00,0.0013940789503976703,0.9995262622833252,0.03074541687965393,0.0013940794019532765,1.540046033708367,0.0798748660380446,88.23813798735155
5343,8607294,1776877598154,2026-04-22T17:06:38.154000+00:00,0.002521142130717635,0.9994683265686035,0.032507289201021194,0.0025211448015214116,1.538283206556506,0.1444509566685245,88.13713543153884
5356,8607344,1776877598204,2026-04-22T17:06:38.204000+00:00,0.002998572774231434,0.9994221329689026,0.03386015072464943,0.002998577267830155,1.5369295519627755,0.17180582199053734,88.05957673639958
5369,8607394,1776877598254,2026-04-22T17:06:38.254000+00:00,0.002914082957431674,0.9993792772293091,0.03510811924934387,0.0029140870817876475,1.535680842326259,0.16696489092002653,87.98803094438986
5380,8607444,1776877598304,2026-04-22T17:06:38.304000+00:00,0.001729669631458819,0.9994392395019531,0.03343776613473892,0.0017296704939185278,1.5373522742519463,0.09910281924984017,88.08379693947518
