packet_index,time_boot_ms,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg,rollspeed_radps,pitchspeed_radps,yawspeed_radps
9943,7966927,-0.03381529822945595,0.042674869298934937,-0.640539288520813,-1.937473871524031,2.4450899021013823,-36.70019784455513,-0.0016155056655406952,-0.009454458951950073,0.1552497148513794
9956,7966967,-0.032835111021995544,0.041461281478405,-0.6350535154342651,-1.8813132814038358,2.3755564419165367,-36.38588619932948,0.01044127345085144,-0.023408034816384315,0.1541908234357834
9970,7967007,-0.03176269680261612,0.039406247437000275,-0.6297500729560852,-1.819868472743578,2.257811664588333,-36.08202132843937,0.017647739499807358,-0.03949708491563797,0.15384580194950104
9974,7967027,-0.03112003766000271,0.03817654773592949,-0.627090334892273,-1.7830468162063335,2.187355061648478,-35.929629562772625,0.02036437764763832,-0.048218414187431335,0.15343694388866425
9987,7967067,-0.029904024675488472,0.03511139750480652,-0.6216250658035278,-1.7133744043605605,2.011734889831583,-35.61649271008422,0.023713665083050728,-0.06526177376508713,0.15172608196735382
9991,7967087,-0.029209794476628304,0.03332533314824104,-0.6191514134407043,-1.6735979439553452,1.9094009402616323,-35.474762869711874,0.024950329214334488,-0.07393937557935715,0.1502247005701065
10005,7967127,-0.027923017740249634,0.02957967296242714,-0.6143650412559509,-1.5998710677852293,1.694790420124308,-35.20052394434669,0.027128227055072784,-0.08888933807611465,0.1452915370464325
10019,7967167,-0.026655569672584534,0.025371409952640533,-0.6098395586013794,-1.5272516427560074,1.4536747105825145,-34.94123288798008,0.027873042970895767,-0.10111938416957855,0.13773740828037262
10023,7967187,-0.026210211217403412,0.02321813441812992,-0.6077948212623596,-1.501734482903663,1.3303011103262798,-34.824078068241434,0.02725786715745926,-0.10579437017440796,0.13350515067577362
10037,7967227,-0.025531617924571037,0.018894193693995476,-0.6039298176765442,-1.4628539512184826,1.0825575559686351,-34.60262967497128,0.021853657439351082,-0.11163759231567383,0.12439730763435364
10050,7967267,-0.02522713877260685,0.014816678129136562,-0.6003093719482422,-1.4454085808612123,0.8489331232033176,-34.395193414783414,0.014390490017831326,-0.1117715835571289,0.1150158941745758
10054,7967287,-0.025170721113681793,0.01292756013572216,-0.5986731648445129,-1.442176087114798,0.7406946351784495,-34.301445653330404,0.010109759867191315,-0.10942070186138153,0.11074646562337875
10068,7967327,-0.02516808733344078,0.009808648377656937,-0.5954785346984863,-1.442025182622823,0.5619941547675845,-34.118406828857815,0.0034216120839118958,-0.09870595484972,0.10380636900663376
10081,7967367,-0.025440741330385208,0.00772978737950325,-0.5921840667724609,-1.4576471059151115,0.4428841933790246,-33.929647720955344,-0.0027140602469444275,-0.07909881323575974,0.09935540705919266
10087,7967387,-0.025609564036130905,0.007197950035333633,-0.590686023235321,-1.467319934440319,0.41241215817065896,-33.84381614875038,-0.005059698596596718,-0.06640812009572983,0.09821337461471558
10101,7967427,-0.026163965463638306,0.007326263934373856,-0.5876010656356812,-1.4990847963925211,0.41976400303853145,-33.6670610983142,-0.009752530604600906,-0.03520672023296356,0.09759410470724106
10114,7967474,-0.026774179190397263,0.00888871494680643,-0.58445143699646,-1.5340474675367586,0.5092858517468605,-33.486600670253296,-0.01343873143196106,0.0011073052883148193,0.09817354381084442
10162,7967487,-0.02710811235010624,0.010256865061819553,-0.5829697251319885,-1.553180428227551,0.5876750790774506,-33.40170483396462,-0.015029119327664375,0.01999436877667904,0.09858391433954239
10165,7967527,-0.027556942775845528,0.01384918112307787,-0.5800443887710571,-1.578896517339472,0.7934996280646114,-33.234095406827095,-0.015373671427369118,0.056727878749370575,0.09873226284980774
10168,7967567,-0.027813829481601715,0.018455613404512405,-0.5771949887275696,-1.5936150413923207,1.0574287564036293,-33.07083681019086,-0.01202196255326271,0.08876252174377441,0.09709242731332779
10172,7967587,-0.027825918048620224,0.020875558257102966,-0.5759746432304382,-1.5943076652628423,1.1960813831114767,-33.00091616365744,-0.009533151984214783,0.10149502754211426,0.0953332930803299
10185,7967627,-0.0277763232588768,0.02571706287562847,-0.5737167596817017,-1.5914660931247053,1.4734791642460838,-32.87154896568282,-0.003795213997364044,0.11690864711999893,0.08955740928649902
10188,7967667,-0.027592763304710388,0.03008848801255226,-0.571659505367279,-1.580948882463355,1.723943375049215,-32.75367697608132,0.0005561709403991699,0.11814470589160919,0.0811404138803482
10191,7967687,-0.02749554067850113,0.03177613765001297,-0.5709139704704285,-1.5753784363083867,1.820638576572497,-32.710960973012064,0.0023077502846717834,0.11213996261358261,0.07629555463790894
10196,7967727,-0.027141934260725975,0.03425423055887222,-0.5696322917938232,-1.5551182809611306,1.9626228414914295,-32.63752619415067,0.005558935925364494,0.0906749814748764,0.06584522128105164
10208,7967747,-0.026808081194758415,0.034924883395433426,-0.5690997242927551,-1.5359899093036866,2.0010484185448636,-32.60701232403364,0.00755191408097744,0.07565560936927795,0.06039128452539444
10213,7967787,-0.02597942017018795,0.035172123461961746,-0.5683093667030334,-1.4885111299488125,2.01521423088347,-32.56172816983646,0.013337982818484306,0.04043096303939819,0.04975311458110809
10228,7967827,-0.02477860078215599,0.034206874668598175,-0.5676807165145874,-1.4197092470570989,1.959909548843642,-32.525709167248394,0.021219216287136078,0.0046600960195064545,0.041533343493938446
10240,7967847,-0.02402884140610695,0.03342714160680771,-0.5673677325248718,-1.3767511991591268,1.9152341352562348,-32.50777650558252,0.02531130239367485,-0.011454259976744652,0.038506533950567245
10245,7967887,-0.022282322868704796,0.031341228634119034,-0.5668606758117676,-1.276683058124622,1.7957201254895865,-32.47872429594787,0.03451290726661682,-0.03769476339221001,0.03437645733356476
10259,7967927,-0.02005690336227417,0.02899276651442051,-0.5663519501686096,-1.1491759127600603,1.6611631576845138,-32.44957646366484,0.04455532133579254,-0.05369221419095993,0.03224954381585121
10271,7967947,-0.018778737634420395,0.02791617624461651,-0.5661108493804932,-1.075942411035772,1.599479078959894,-32.43576240606849,0.0495140515267849,-0.05769325792789459,0.03161197900772095
10276,7967987,-0.01589771918952465,0.026022056117653847,-0.5657945275306702,-0.9108722134439022,1.4909539897941497,-32.41763849910586,0.06077912449836731,-0.05808183550834656,0.030106093734502792
10290,7968027,-0.012541399337351322,0.024584753438830376,-0.5657882690429688,-0.7185692512183981,1.4086026124147175,-32.417279914174436,0.07275719940662384,-0.04981563240289688,0.026639122515916824
10302,7968047,-0.010793843306601048,0.02411380037665367,-0.5658835768699646,-0.618441666193773,1.3816189896032303,-32.42274065041586,0.07824797183275223,-0.04388298839330673,0.023858487606048584
10307,7968087,-0.007238325197249651,0.023394601419568062,-0.5664560794830322,-0.4147254845456041,1.3404119247320143,-32.45554263390485,0.08604228496551514,-0.029875492677092552,0.016049029305577278
10321,7968127,-0.003884227480739355,0.023109903559088707,-0.567470371723175,-0.2225498413150973,1.324099938890143,-32.5136572984579,0.08858361840248108,-0.018424417823553085,0.0058645447716116905
10335,7968147,-0.00248138140887022,0.02302725985646248,-0.5680297017097473,-0.14217268209048972,1.319364803526326,-32.5457045460436,0.08657850325107574,-0.013210903853178024,0.0009304462000727654
10339,7968187,-0.00019535124010872096,0.022741908207535744,-0.5693777203559875,-0.01119280158087648,1.3030153583657251,-32.62294032517811,0.07582987844944,-0.0074302926659584045,-0.00752237718552351
10353,7968227,0.0008265811484307051,0.022329358384013176,-0.5708444714546204,0.04735961123015605,1.2793779946390151,-32.70697897272594,0.05437113344669342,-0.006395397707819939,-0.01297261007130146
10365,7968247,0.0008606653427705169,0.021924583241343498,-0.5715321898460388,0.049312491713930956,1.2561860873122368,-32.746382334047745,0.040616896003484726,-0.008655199781060219,-0.014525207690894604
10370,7968287,-0.0003149795811623335,0.021198678761720657,-0.5727956891059875,-0.01804700063340008,1.2145948243002078,-32.818775509060714,0.007572663947939873,-0.014596712775528431,-0.014577935449779034
10384,7968327,-0.0029633461963385344,0.02019200660288334,-0.5739511251449585,-0.16978723028634382,1.1569167582455062,-32.88497711759106,-0.029682137072086334,-0.020331386476755142,-0.011697972193360329
10396,7968347,-0.004871363285928965,0.019812501966953278,-0.5744194388389587,-0.27910855675871016,1.1351727443010649,-32.91180951574545,-0.048746258020401,-0.02213512919843197,-0.009749123826622963
10403,7968387,-0.00977493915706873,0.019361302256584167,-0.5752849578857422,-0.5600627586972047,1.1093209051793897,-32.961400104214334,-0.08767939358949661,-0.019621282815933228,-0.005219963379204273
10416,7968407,-0.012611554004251957,0.01933041587471962,-0.5757080912590027,-0.7225888175449506,1.1075512458541217,-32.98564386067329,-0.10560420900583267,-0.01606961339712143,-0.003182266838848591
10429,7968447,-0.018922774121165276,0.019927004352211952,-0.5765417218208313,-1.0841950938221459,1.141733247720568,-33.03340737353919,-0.13652178645133972,-0.0032282639294862747,-0.00033354759216308594
10435,7968487,-0.025436175987124443,0.021295392885804176,-0.5775779485702515,-1.4573855310142412,1.220136135429498,-33.09277879289953,-0.15632863342761993,0.014376267790794373,-0.0009129783138632774
10448,7968507,-0.02886592410504818,0.022360511124134064,-0.578229546546936,-1.6538956229642088,1.2811629151682098,-33.13011260690282,-0.16178755462169647,0.025431981310248375,-0.0025551989674568176
10461,7968547,-0.034912921488285065,0.02482759952545166,-0.5797988176345825,-2.000363051750335,1.4225166682493857,-33.220025217136865,-0.16218017041683197,0.04605028033256531,-0.00842586811631918
10467,7968587,-0.04025338217616081,0.02790929563343525,-0.5817166566848755,-2.3063489098211476,1.5990848489787373,-33.329909300504035,-0.15093165636062622,0.06461019814014435,-0.016211114823818207
10480,7968607,-0.04247095063328743,0.029504340142011642,-0.5828386545181274,-2.4334062231958407,1.6904741674556831,-33.39419504097219,-0.14150533080101013,0.07210029661655426,-0.020346658304333687
10493,7968647,-0.04599655047059059,0.032781098037958145,-0.5851036906242371,-2.6354082141253214,1.8782185653795853,-33.52397205029702,-0.11557213962078094,0.0813739001750946,-0.02782263234257698
10498,7968687,-0.048252467066049576,0.035849735140800476,-0.5875315070152283,-2.764662713978643,2.054038520229703,-33.663075682933496,-0.08543483167886734,0.08380265533924103,-0.03301677852869034
10511,7968707,-0.049004945904016495,0.03713095560669899,-0.5887733697891235,-2.807776575567056,2.1274470455514733,-33.734229178612104,-0.06960124522447586,0.08123870193958282,-0.03491096571087837
10524,7968747,-0.049681708216667175,0.039540763944387436,-0.5910931825637817,-2.846552199815453,2.265518892736458,-33.86714465986056,-0.03931734710931778,0.07306043803691864,-0.036046117544174194
10529,7968787,-0.04937940090894699,0.04097976163029671,-0.5932502746582031,-2.8292312669671236,2.347967386868151,-33.990736932891934,-0.011396946385502815,0.05661759153008461,-0.03425600007176399
10543,7968807,-0.049091655761003494,0.041391484439373016,-0.5941998362541199,-2.812744684414594,2.3715573661574942,-34.04514280472567,-0.00015986710786819458,0.04713849723339081,-0.032114434987306595
10556,7968847,-0.047947440296411514,0.04112207517027855,-0.59583580493927,-2.7471859674398726,2.356121352076677,-34.138876905800345,0.01824089139699936,0.02323986403644085,-0.026594869792461395
10561,7968887,-0.04665679484605789,0.03993583843111992,-0.5970278382301331,-2.6732374302868487,2.288154993419526,-34.207175382405886,0.030241211876273155,-0.004929855465888977,-0.019254488870501518
10573,7968907,-0.04605333134531975,0.03893513232469559,-0.597477376461029,-2.6386615186043634,2.230818756988443,-34.232932025766004,0.03259758651256561,-0.01890098676085472,-0.014654300175607204
10587,7968947,-0.04501629248261452,0.03670342266559601,-0.5978233814239502,-2.579243568580307,2.102951212423457,-34.252756649831966,0.0328483022749424,-0.0428687185049057,-0.0030851056799292564
10592,7968987,-0.04417239502072334,0.03394744172692299,-0.5977124571800232,-2.53089180567214,1.9450451362189902,-34.24640115880927,0.027549315243959427,-0.06039529666304588,0.009679649956524372
10604,7969007,-0.04394878074526787,0.032527510076761246,-0.5974606275558472,-2.5180796514496655,1.8636890454676758,-34.231972384187614,0.024189289659261703,-0.06658899784088135,0.016154378652572632
10618,7969047,-0.043600257486104965,0.029743095859885216,-0.5965150594711304,-2.498110739637487,1.704153862424455,-34.17779532369107,0.015558958053588867,-0.07326629012823105,0.02946377918124199
10622,7969067,-0.043401312083005905,0.028374595567584038,-0.595803439617157,-2.486712007686382,1.625744571413178,-34.13702250944068,0.01219000294804573,-0.07422679662704468,0.03609956055879593
10635,7969107,-0.04300982877612114,0.025976121425628662,-0.5941588282585144,-2.46428166645206,1.4883221258078734,-34.04279321965119,0.008138032630085945,-0.07103846967220306,0.049830950796604156
10650,7969147,-0.042216211557388306,0.023877190425992012,-0.5921979546546936,-2.418810749269758,1.3680622380395184,-33.930443437993645,0.010575899854302406,-0.06403312087059021,0.06089738756418228
10654,7969167,-0.041706304997205734,0.023034822195768356,-0.5910750031471252,-2.389595255425263,1.3197980936517986,-33.86610305601213,0.01356135681271553,-0.059656642377376556,0.06554623693227768
10667,7969207,-0.04040103778243065,0.02123907208442688,-0.5888318419456482,-2.314808952881855,1.2169091912117842,-33.7375793864,0.02172517403960228,-0.05164187029004097,0.07331176102161407
10681,7969247,-0.03865653648972511,0.019610753282904625,-0.5862714648246765,-2.2148563914547115,1.1236133961827588,-33.59088058340647,0.03232623264193535,-0.04707605019211769,0.07945774495601654
10685,7969267,-0.03755759820342064,0.018816286697983742,-0.5848773717880249,-2.1518918657041257,1.0780938139026204,-33.51100493615775,0.03799436241388321,-0.04531579464673996,0.08220575749874115
10699,7969307,-0.035109784454107285,0.0174047090113163,-0.5821587443351746,-2.0116424688343764,0.9972163700017357,-33.355239057041025,0.05030591040849686,-0.04230102151632309,0.08722641319036484
